"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"265",2015,7,3,0,0,1,3,9,9,1,1,9,1
"266",2013,12,5,0,9,9,3,0,2,1,1,0,2
"267",2013,11,1,1,1,2,2,0,2,1,1,1,4
"268",2014,9,1,0,9,9,1,9,2,4,1,9,2
"269",2017,9,1,0,9,0,3,0,2,9,1,0,2
"270",2014,8,1,0,1,9,3,9,2,1,1,0,1
"271",2015,8,9,0,9,1,1,0,2,4,0,9,1
"272",2015,6,2,0,9,9,3,0,3,3,0,0,5
"273",2015,9,6,0,1,1,3,0,2,1,0,0,1
"274",2014,4,2,0,0,2,3,0,1,2,1,0,1
"275",2016,11,2,0,1,2,3,0,2,4,1,0,2
"276",2015,9,1,0,1,0,2,9,2,1,1,0,2
"277",2015,8,2,0,1,4,3,0,2,1,0,0,16
"278",2013,12,1,1,1,1,3,0,2,2,0,0,10
"279",2015,12,1,0,1,2,3,0,2,9,1,0,1
"280",2013,12,3,0,9,3,3,9,2,1,0,0,1
"281",2016,6,1,1,2,3,4,0,2,1,1,0,4
"282",2014,5,1,1,9,1,4,0,1,2,1,0,1
"283",2015,12,1,0,0,3,1,0,2,2,0,0,1
"284",2014,6,2,0,1,3,3,0,1,3,0,9,3
"285",2014,5,1,9,9,9,2,9,9,2,9,9,71
"286",2015,6,2,0,0,1,2,0,1,2,1,0,2
"287",2014,7,1,0,9,1,1,0,1,1,0,0,2
"288",2015,7,1,1,9,4,4,0,2,1,1,0,18
"289",2017,7,1,0,0,3,4,1,2,1,1,0,3
"290",2013,9,1,1,9,1,2,0,2,3,0,0,56
"291",2015,5,9,1,0,2,4,0,1,9,0,0,1
"292",2017,10,3,0,2,2,2,0,2,2,1,0,2
"293",2017,7,2,0,2,0,1,9,9,4,9,9,1
"294",2017,5,2,0,1,4,1,0,1,4,1,0,2
"295",2013,12,1,0,9,4,4,0,2,2,0,0,1
"296",2016,10,4,0,1,2,3,0,2,2,1,0,1
"297",2014,5,2,0,0,3,3,9,3,2,0,9,1
"298",2015,4,2,1,0,9,3,0,1,4,0,0,1
"299",2016,5,1,0,9,9,3,9,9,2,9,9,1
"300",2014,5,5,0,9,3,3,1,2,1,1,0,1
"301",2016,10,1,0,0,2,2,0,2,9,1,0,8
"302",2013,9,3,0,9,9,3,1,2,9,0,0,3
"303",2016,7,5,1,1,1,2,0,1,1,0,0,1
"304",2015,12,1,1,2,1,2,0,2,3,0,0,4
"305",2013,10,2,0,1,1,2,9,2,1,1,9,1
"306",2013,8,3,0,9,9,1,9,2,2,0,0,1
"307",2014,7,4,9,9,9,2,9,9,3,9,9,1
"308",2014,6,2,0,2,1,3,9,9,9,1,9,1
"309",2017,6,2,0,9,9,1,0,2,4,0,9,2
"310",2017,4,1,0,2,0,3,0,3,3,0,0,3
"311",2014,6,5,0,9,2,1,0,1,2,0,0,2
"312",2014,6,1,1,1,3,2,0,1,3,0,0,11
"313",2014,10,1,0,0,3,2,0,2,3,0,1,1
"314",2014,5,1,0,9,2,3,0,1,3,9,0,1
"315",2015,10,2,0,1,2,3,0,2,3,1,1,1
"316",2017,7,1,9,9,0,2,1,2,4,0,9,1
"317",2014,7,3,0,1,1,2,9,9,9,0,0,4
"318",2016,10,5,0,9,9,2,1,2,2,0,0,1
"319",2014,9,1,0,1,3,2,9,2,1,1,1,1
"320",2013,8,1,9,2,9,2,9,2,4,0,9,1
"321",2015,11,1,0,9,2,1,0,2,3,0,9,1
"322",2017,5,1,1,9,2,2,0,9,4,0,0,2
